"","year","state","nmfs_name","pounds","metric_tons","dollars","scientific_name","source"
"108",2022,"NORTH CAROLINA","SHARK, DOGFISH, SPINY",70392,32,10559,"Squalus acanthias","ACCSP"
"109",2022,"NORTH CAROLINA","SHARK, HAMMERHEAD, GREAT",60876,28,30714,"Sphyrna mokarran","EXCEPTIONS"
"110",2022,"NORTH CAROLINA","SHARK, HAMMERHEAD, SCALLOPED",18148,8,12044,"Sphyrna lewini","EXCEPTIONS"
"111",2022,"NORTH CAROLINA","SHARK, MAKO, SHORTFIN",13096,6,19337,"Isurus oxyrinchus","EXCEPTIONS"
"112",2022,"NORTH CAROLINA","SHARK, SHARPNOSE, ATLANTIC",103346,47,95959,"Rhizoprionodon terraenovae","EXCEPTIONS"
"113",2022,"NORTH CAROLINA","SHARK, SPINNER",109339,50,75891,"Carcharhinus brevipinna","EXCEPTIONS"
"114",2022,"NORTH CAROLINA","SHARK, THRESHER",18223,8,14232,"Alopias vulpinus","EXCEPTIONS"
"115",2022,"NORTH CAROLINA","SHARK, TIGER",1101,NA,466,"Galeocerdo cuvier","EXCEPTIONS"
"116",2022,"OREGON","SHARK, BLUE",4516,2,239,"Prionace glauca","PACFIN"
"117",2022,"OREGON","SHARK, BROWN CAT",13845,6,NA,"Arpisturus brunneus","PACFIN"
"118",2022,"OREGON","SHARK, DOGFISH, SPINY",160081,73,123,"Squalus acanthias","PACFIN"
"119",2022,"OREGON","SHARK, MAKO, SHORTFIN",238,NA,899,"Isurus oxyrinchus","PACFIN"
"120",2022,"OREGON","SHARK, TOPE",652,NA,NA,"Galeorhinus galeus","PACFIN"
"121",2022,"PROCESS AT SEA","SHARK, BLUE",691,NA,NA,"Prionace glauca","PACFIN"
"122",2022,"PROCESS AT SEA","SHARK, DOGFISH, SPINY",38136,17,NA,"Squalus acanthias","PACFIN"
"123",2022,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",103509,47,46253,"Mustelus canis","EXCEPTIONS"
"124",2022,"RHODE ISLAND","SHARK, DOGFISH, SPINY",21035,10,5623,"Squalus acanthias","ACCSP"
"125",2022,"SOUTH CAROLINA","SHARK, BULL",4566,2,9645,"Carcharhinus leucas","EXCEPTIONS"
"126",2022,"SOUTH CAROLINA","SHARK, MAKO, SHORTFIN",1354,1,2018,"Isurus oxyrinchus","EXCEPTIONS"
"127",2022,"VIRGINIA","SHARK, BLACKTIP",12240,6,10630,"Carcharhinus limbatus","EXCEPTIONS"
"128",2022,"VIRGINIA","SHARK, DOGFISH, SMOOTH",88696,40,68329,"Mustelus canis","EXCEPTIONS"
"129",2022,"VIRGINIA","SHARK, DOGFISH, SPINY",4568864,2072,925067,"Squalus acanthias","ACCSP"
"130",2022,"VIRGINIA","SHARK, MAKO, SHORTFIN",2448,1,3872,"Isurus oxyrinchus","EXCEPTIONS"
"131",2021,"CALIFORNIA","SHARK, DOGFISH, SPINY",1126,1,649,"Squalus acanthias","PACFIN"
"132",2021,"CALIFORNIA","SHARK, LEOPARD",10098,5,8694,"Triakis semifasciata","PACFIN"
"133",2021,"CALIFORNIA","SHARK, MAKO, SHORTFIN",25251,11,20841,"Isurus oxyrinchus","PACFIN"
"134",2021,"CALIFORNIA","SHARK, PACIFIC ANGEL",52286,24,33838,"Squatina californica","PACFIN"
"135",2021,"CALIFORNIA","SHARK, THRESHER",73151,33,57340,"Alopias vulpinus","PACFIN"
"136",2021,"CALIFORNIA","SHARK, TOPE",33250,15,20824,"Galeorhinus galeus","PACFIN"
"137",2021,"CONNECTICUT","SHARK, DOGFISH, SMOOTH",48872,22,36738,"Mustelus canis","EXCEPTIONS"
"138",2021,"CONNECTICUT","SHARK, DOGFISH, SPINY",7235,3,886,"Squalus acanthias","ACCSP"
"139",2021,"FLORIDA-EAST","SHARK, BLACKNOSE",20072,9,20051,"Carcharhinus acronotus","EXCEPTIONS"
"140",2021,"FLORIDA-EAST","SHARK, BLACKTIP",59611,27,49651,"Carcharhinus limbatus","EXCEPTIONS"
"141",2021,"FLORIDA-EAST","SHARK, MAKO, SHORTFIN",3710,2,4692,"Isurus oxyrinchus","EXCEPTIONS"
"142",2021,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",62605,28,58005,"Rhizoprionodon terraenovae","EXCEPTIONS"
"143",2021,"FLORIDA-WEST","SHARK, BLACKTIP",10355,5,7880,"Carcharhinus limbatus","EXCEPTIONS"
"144",2021,"FLORIDA-WEST","SHARK, BULL",47150,21,35872,"Carcharhinus leucas","EXCEPTIONS"
"145",2021,"FLORIDA-WEST","SHARK, LEMON",44284,20,28702,"Negaprion brevirostris","EXCEPTIONS"
"146",2021,"FLORIDA-WEST","SHARK, SANDBAR",110705,50,68190,"Carcharhinus plumbeus","EXCEPTIONS"
"147",2021,"MARYLAND","SHARK, DOGFISH, SMOOTH",17844,8,13512,"Mustelus canis","EXCEPTIONS"
"148",2021,"MARYLAND","SHARK, DOGFISH, SPINY",442508,201,75818,"Squalus acanthias","ACCSP"
"149",2021,"MARYLAND","SHARK, MAKO, SHORTFIN",7527,3,12186,"Isurus oxyrinchus","EXCEPTIONS"
"150",2021,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",3770591,1710,875019,"Squalus acanthias","ACCSP"
"151",2021,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",610257,277,362274,"Mustelus canis","EXCEPTIONS"
"152",2021,"NEW JERSEY","SHARK, DOGFISH, SPINY",1673457,759,351222,"Squalus acanthias","ACCSP"
"153",2021,"NEW JERSEY","SHARK, MAKO, SHORTFIN",5417,2,8623,"Isurus oxyrinchus","EXCEPTIONS"
"154",2021,"NEW JERSEY","SHARK, SPINNER",15511,7,15148,"Carcharhinus brevipinna","EXCEPTIONS"
"155",2021,"NEW JERSEY","SHARK, THRESHER",34127,15,20051,"Alopias vulpinus","EXCEPTIONS"
"156",2021,"NEW YORK","SHARK, DOGFISH, SMOOTH",244012,111,209186,"Mustelus canis","EXCEPTIONS"
"157",2021,"NEW YORK","SHARK, DOGFISH, SPINY",62371,28,33744,"Squalus acanthias","ACCSP"
"158",2021,"NEW YORK","SHARK, THRESHER",2407,1,1714,"Alopias vulpinus","EXCEPTIONS"
"159",2021,"NORTH CAROLINA","SHARK, BLACKTIP",44805,20,29815,"Carcharhinus limbatus","EXCEPTIONS"
"160",2021,"NORTH CAROLINA","SHARK, BONNETHEAD",519,NA,298,"Sphyrna tiburo","EXCEPTIONS"
"161",2021,"NORTH CAROLINA","SHARK, BULL",1529,1,473,"Carcharhinus leucas","EXCEPTIONS"
"162",2021,"NORTH CAROLINA","SHARK, DOGFISH, SMOOTH",29312,13,28225,"Mustelus canis","EXCEPTIONS"
"163",2021,"NORTH CAROLINA","SHARK, DOGFISH, SPINY",131501,60,19725,"Squalus acanthias","ACCSP"
"164",2021,"NORTH CAROLINA","SHARK, FINETOOTH",167,NA,107,"Carcharhinus isodon","EXCEPTIONS"
"165",2021,"NORTH CAROLINA","SHARK, HAMMERHEAD, GREAT",46384,21,24899,"Sphyrna mokarran","EXCEPTIONS"
"166",2021,"NORTH CAROLINA","SHARK, HAMMERHEAD, SCALLOPED",12139,6,7322,"Sphyrna lewini","EXCEPTIONS"
"167",2021,"NORTH CAROLINA","SHARK, LEMON",209,NA,139,"Negaprion brevirostris","EXCEPTIONS"
"168",2021,"NORTH CAROLINA","SHARK, MAKO, SHORTFIN",8439,4,13439,"Isurus oxyrinchus","EXCEPTIONS"
"169",2021,"NORTH CAROLINA","SHARK, SHARPNOSE, ATLANTIC",205472,93,163715,"Rhizoprionodon terraenovae","EXCEPTIONS"
"170",2021,"NORTH CAROLINA","SHARK, SPINNER",67113,30,48699,"Carcharhinus brevipinna","EXCEPTIONS"
"171",2021,"NORTH CAROLINA","SHARK, THRESHER",22865,10,16947,"Alopias vulpinus","EXCEPTIONS"
"172",2021,"NORTH CAROLINA","SHARK, TIGER",721,NA,371,"Galeocerdo cuvier","EXCEPTIONS"
"173",2021,"OREGON","SHARK, BLUE",2580,1,130,"Prionace glauca","PACFIN"
"174",2021,"OREGON","SHARK, BROWN CAT",1730,1,NA,"Arpisturus brunneus","PACFIN"
"175",2021,"OREGON","SHARK, DOGFISH, SPINY",19598,9,268,"Squalus acanthias","PACFIN"
"176",2021,"OREGON","SHARK, MAKO, SHORTFIN",179,NA,296,"Isurus oxyrinchus","PACFIN"
"177",2021,"OREGON","SHARK, THRESHER",1188,1,NA,"Alopias vulpinus","PACFIN"
"178",2021,"OREGON","SHARK, TOPE",956,NA,NA,"Galeorhinus galeus","PACFIN"
"179",2021,"PROCESS AT SEA","SHARK, DOGFISH, SPINY",36682,17,NA,"Squalus acanthias","PACFIN"
"180",2021,"RHODE ISLAND","SHARK, DOGFISH, SMOOTH",115252,52,46828,"Mustelus canis","EXCEPTIONS"
"181",2021,"RHODE ISLAND","SHARK, DOGFISH, SPINY",106386,48,21649,"Squalus acanthias","ACCSP"
"182",2021,"SOUTH CAROLINA","SHARK, BLACKTIP",27265,12,48237,"Carcharhinus limbatus","EXCEPTIONS"
"183",2021,"SOUTH CAROLINA","SHARK, BULL",6120,3,10420,"Carcharhinus leucas","EXCEPTIONS"
"184",2021,"SOUTH CAROLINA","SHARK, SHARPNOSE, ATLANTIC",6001,3,10987,"Rhizoprionodon terraenovae","EXCEPTIONS"
"185",2021,"VIRGINIA","SHARK, BLACKTIP",10271,5,7282,"Carcharhinus limbatus","EXCEPTIONS"
"186",2021,"VIRGINIA","SHARK, DOGFISH, SMOOTH",53852,24,40264,"Mustelus canis","EXCEPTIONS"
"187",2021,"VIRGINIA","SHARK, DOGFISH, SPINY",3597475,1632,650430,"Squalus acanthias","ACCSP"
"188",2021,"VIRGINIA","SHARK, MAKO, SHORTFIN",1487,1,1936,"Isurus oxyrinchus","EXCEPTIONS"
"189",2021,"WASHINGTON","SHARK, DOGFISH, SPINY",81979,37,458,"Squalus acanthias","PACFIN"
"190",2020,"ALASKA","SHARK, DOGFISH, SPINY",58153,26,2382,"Squalus acanthias","AKFIN"
"191",2020,"CALIFORNIA","SHARK, DOGFISH, SPINY",1895,1,5421,"Squalus acanthias","PACFIN"
"192",2020,"CALIFORNIA","SHARK, LEOPARD",6506,3,5939,"Triakis semifasciata","PACFIN"
"193",2020,"CALIFORNIA","SHARK, MAKO, SHORTFIN",37132,17,23716,"Isurus oxyrinchus","PACFIN"
"194",2020,"CALIFORNIA","SHARK, PACIFIC ANGEL",88771,40,57866,"Squatina californica","PACFIN"
"195",2020,"CALIFORNIA","SHARK, THRESHER",134840,61,92577,"Alopias vulpinus","PACFIN"
"196",2020,"CALIFORNIA","SHARK, THRESHER, BIGEYE",3204,1,2248,"Alopias superciliosus","PACFIN"
"197",2020,"CALIFORNIA","SHARK, TOPE",30015,14,21031,"Galeorhinus galeus","PACFIN"
"198",2020,"CONNECTICUT","SHARK, DOGFISH, SMOOTH",24789,11,18309,"Mustelus canis","EXCEPTIONS"
"199",2020,"CONNECTICUT","SHARK, DOGFISH, SPINY",26270,12,2987,"Squalus acanthias","ACCSP"
"200",2020,"FLORIDA-EAST","SHARK, BLACKNOSE",14446,7,13597,"Carcharhinus acronotus","EXCEPTIONS"
"201",2020,"FLORIDA-EAST","SHARK, BLACKTIP",84671,38,66196,"Carcharhinus limbatus","EXCEPTIONS"
"202",2020,"FLORIDA-EAST","SHARK, BONNETHEAD",1827,1,1386,"Sphyrna tiburo","EXCEPTIONS"
"203",2020,"FLORIDA-EAST","SHARK, BULL",12729,6,7740,"Carcharhinus leucas","EXCEPTIONS"
"204",2020,"FLORIDA-EAST","SHARK, FINETOOTH",9210,4,7385,"Carcharhinus isodon","EXCEPTIONS"
"205",2020,"FLORIDA-EAST","SHARK, HAMMERHEAD, SCALLOPED",1900,1,1213,"Sphyrna lewini","EXCEPTIONS"
"206",2020,"FLORIDA-EAST","SHARK, LEMON",2188,1,1354,"Negaprion brevirostris","EXCEPTIONS"
"207",2020,"FLORIDA-EAST","SHARK, SHARPNOSE, ATLANTIC",67726,31,52308,"Rhizoprionodon terraenovae","EXCEPTIONS"
"208",2020,"FLORIDA-EAST","SHARK, SILKY",310,NA,180,"Carcharhinus falciformis","EXCEPTIONS"
"209",2020,"FLORIDA-EAST","SHARK, SPINNER",3555,2,2398,"Carcharhinus brevipinna","EXCEPTIONS"
"210",2020,"FLORIDA-EAST","SHARK, TIGER",865,NA,392,"Galeocerdo cuvier","EXCEPTIONS"
"211",2020,"FLORIDA-WEST","SHARK, BLACKTIP",14453,7,9975,"Carcharhinus limbatus","EXCEPTIONS"
"212",2020,"FLORIDA-WEST","SHARK, BULL",86729,39,47870,"Carcharhinus leucas","EXCEPTIONS"
"213",2020,"FLORIDA-WEST","SHARK, LEMON",55426,25,31908,"Negaprion brevirostris","EXCEPTIONS"
"214",2020,"FLORIDA-WEST","SHARK, MAKO, SHORTFIN",904,NA,968,"Isurus oxyrinchus","EXCEPTIONS"
"215",2020,"LOUISIANA","SHARK, BLACKTIP",580871,263,321066,"Carcharhinus limbatus","EXCEPTIONS"
"216",2020,"LOUISIANA","SHARK, BULL",192637,87,106235,"Carcharhinus leucas","EXCEPTIONS"
"217",2020,"MARYLAND","SHARK, DOGFISH, SMOOTH",31718,14,24446,"Mustelus canis","EXCEPTIONS"
"218",2020,"MARYLAND","SHARK, DOGFISH, SPINY",396076,180,64646,"Squalus acanthias","ACCSP"
"219",2020,"MARYLAND","SHARK, MAKO, SHORTFIN",11761,5,16041,"Isurus oxyrinchus","EXCEPTIONS"
"220",2020,"MARYLAND","SHARK, THRESHER",9027,4,3424,"Alopias vulpinus","EXCEPTIONS"
"221",2020,"MASSACHUSETTS","SHARK, DOGFISH, SPINY",6603894,2996,1439292,"Squalus acanthias","ACCSP"
"222",2020,"NEW JERSEY","SHARK, BLACKTIP",353,NA,276,"Carcharhinus limbatus","EXCEPTIONS"
"223",2020,"NEW JERSEY","SHARK, DOGFISH, SMOOTH",418841,190,211342,"Mustelus canis","EXCEPTIONS"
"224",2020,"NEW JERSEY","SHARK, DOGFISH, SPINY",1987957,902,394047,"Squalus acanthias","ACCSP"
"225",2020,"NEW JERSEY","SHARK, MAKO, SHORTFIN",9046,4,13094,"Isurus oxyrinchus","EXCEPTIONS"
"226",2020,"NEW JERSEY","SHARK, SHARPNOSE, ATLANTIC",1222,1,1208,"Rhizoprionodon terraenovae","EXCEPTIONS"
"227",2020,"NEW JERSEY","SHARK, SPINNER",2628,1,2404,"Carcharhinus brevipinna","EXCEPTIONS"
"228",2020,"NEW JERSEY","SHARK, THRESHER",17838,8,11545,"Alopias vulpinus","EXCEPTIONS"
"229",2020,"NEW YORK","SHARK, DOGFISH, SMOOTH",237765,108,174436,"Mustelus canis","EXCEPTIONS"
"230",2020,"NEW YORK","SHARK, DOGFISH, SPINY",13870,6,6566,"Squalus acanthias","ACCSP"
"231",2020,"NEW YORK","SHARK, MAKO, SHORTFIN",2210,1,2855,"Isurus oxyrinchus","EXCEPTIONS"
