,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2023,DELAWARE,"SHARK, DOGFISH, SPINY",306,0,63,Public,Commercial,Squalus acanthias,160617,ACCSP
2023,FLORIDA-EAST,"SHARK, BLACKNOSE","17,534",8,"17,923",Public,Commercial,Carcharhinus acronotus,160304,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, BLACKTIP","118,125",54,"110,324",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, BONNETHEAD",,,,Confidential,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, BULL","1,001",0,828,Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, FINETOOTH","28,837",13,"31,251",Public,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, NURSE",,,,Confidential,Commercial,Ginglymostoma cirratum,159977,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, SHARPNOSE, ATLANTIC","76,339",35,"84,575",Public,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, SILKY",,,,Confidential,Commercial,Carcharhinus falciformis,160310,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, SPINNER","15,843",7,"14,179",Public,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,FLORIDA-EAST,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, BLACKTIP",132,0,180,Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, BONNETHEAD",48,0,21,Public,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, BULL","6,486",3,"4,434",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, DUSKY",,,,Confidential,Commercial,Carcharhinus obscurus,160268,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, LEMON",796,0,135,Public,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, NURSE",,,,Confidential,Commercial,Ginglymostoma cirratum,159977,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, SANDBAR",,,,Confidential,Commercial,Carcharhinus plumbeus,160289,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, SILKY",,,,Confidential,Commercial,Carcharhinus falciformis,160310,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,FLORIDA-WEST,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,LOUISIANA,"SHARK, BLACKTIP","700,930",318,"417,932",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,LOUISIANA,"SHARK, BLUE",,,,Confidential,Commercial,Prionace glauca,160424,EXCEPTIONS
2023,LOUISIANA,"SHARK, BULL","189,976",86,"115,785",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,LOUISIANA,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2023,LOUISIANA,"SHARK, LEMON","1,990",1,"1,196",Public,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2023,LOUISIANA,"SHARK, MAKO, SHORTFIN",,,,Confidential,Commercial,Isurus oxyrinchus,159924,EXCEPTIONS
2023,LOUISIANA,"SHARK, NIGHT",,,,Confidential,Commercial,Carcharhinus signatus,160413,GULFFIN
2023,LOUISIANA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,LOUISIANA,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,MAINE,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,ACCSP
2023,MARYLAND,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,MARYLAND,"SHARK, BULL",,,,Confidential,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,MARYLAND,"SHARK, DOGFISH, SMOOTH","32,865",15,"23,066",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,MARYLAND,"SHARK, DOGFISH, SPINY","850,527",386,"169,125",Public,Commercial,Squalus acanthias,160617,ACCSP
2023,MARYLAND,"SHARK, HAMMERHEAD, SMOOTH",,,,Confidential,Commercial,Sphyrna zygaena,160505,EXCEPTIONS
2023,MARYLAND,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,MARYLAND,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,MARYLAND,"SHARK, THRESHER","6,469",3,"4,857",Public,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,MARYLAND,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,MASSACHUSETTS,"SHARK, DOGFISH, BLACK",,,,Confidential,Commercial,Centroscyllium,160703,ACCSP
2023,MASSACHUSETTS,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,MASSACHUSETTS,"SHARK, DOGFISH, SPINY","2,763,959","1,254","695,145",Public,Commercial,Squalus acanthias,160617,ACCSP
2023,MASSACHUSETTS,"SHARK, PORBEAGLE",,,,Confidential,Commercial,Lamna nasus,159911,EXCEPTIONS
2023,MASSACHUSETTS,"SHARK, THRESHER",,,,Confidential,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,NEW HAMPSHIRE,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,ACCSP
2023,NEW JERSEY,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,NEW JERSEY,"SHARK, DOGFISH, BLACK",,,,Confidential,Commercial,Centroscyllium,160703,ACCSP
2023,NEW JERSEY,"SHARK, DOGFISH, SMOOTH","785,510",356,"509,862",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,NEW JERSEY,"SHARK, DOGFISH, SPINY","1,148,491",521,"222,040",Public,Commercial,Squalus acanthias,160617,ACCSP
2023,NEW JERSEY,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2023,NEW JERSEY,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2023,NEW JERSEY,"SHARK, HAMMERHEAD, SMOOTH",,,,Confidential,Commercial,Sphyrna zygaena,160505,EXCEPTIONS
2023,NEW JERSEY,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,NEW JERSEY,"SHARK, SPINNER","13,820",6,"11,386",Public,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,NEW JERSEY,"SHARK, THRESHER","18,276",8,"13,461",Public,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,NEW YORK,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,NEW YORK,"SHARK, DOGFISH, BLACK",,,,Confidential,Commercial,Centroscyllium,160703,ACCSP
2023,NEW YORK,"SHARK, DOGFISH, CHAIN",,,,Confidential,Commercial,Scyliorhinus retifer,160060,ACCSP
2023,NEW YORK,"SHARK, DOGFISH, SMOOTH","272,580",124,"206,528",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,NEW YORK,"SHARK, DOGFISH, SPINY","28,191",13,"23,905",Public,Commercial,Squalus acanthias,160617,ACCSP
2023,NEW YORK,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,NEW YORK,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,NEW YORK,"SHARK, THRESHER",,,,Confidential,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, BLACKTIP","66,079",30,"49,399",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, BONNETHEAD",299,0,131,Public,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, BULL","1,554",1,395,Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, DOGFISH, SMOOTH","48,494",22,"55,452",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, DOGFISH, SPINY","6,147",3,861,Public,Commercial,Squalus acanthias,160617,ACCSP
2023,NORTH CAROLINA,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, HAMMERHEAD, GREAT","67,453",31,"35,210",Public,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, HAMMERHEAD, SCALLOPED","4,391",2,"1,492",Public,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, HAMMERHEAD, SMOOTH",,,,Confidential,Commercial,Sphyrna zygaena,160505,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, LEMON","2,054",1,"1,170",Public,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, MAKO, SHORTFIN",,,,Confidential,Commercial,Isurus oxyrinchus,159924,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, SANDBAR",,,,Confidential,Commercial,Carcharhinus plumbeus,160289,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, SHARPNOSE, ATLANTIC","153,963",70,"114,172",Public,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, SPINNER","111,630",51,"76,301",Public,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, THRESHER","31,586",14,"20,026",Public,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,NORTH CAROLINA,"SHARK, TIGER","2,840",1,"1,179",Public,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,OREGON,"SHARK, BLUE","3,951",2,3,Public,Commercial,Prionace glauca,160424,PACFIN
2023,OREGON,"SHARK, BROWN CAT","19,856",9,,Public,Commercial,Arpisturus brunneus,159988,PACFIN
2023,OREGON,"SHARK, DOGFISH, SPINY","285,439",129,111,Public,Commercial,Squalus acanthias,160617,PACFIN
2023,OREGON,"SHARK, MAKO, SHORTFIN",,,,Confidential,Commercial,Isurus oxyrinchus,159924,PACFIN
2023,OREGON,"SHARK, TOPE","1,440",1,,Public,Commercial,Galeorhinus galeus,160181,PACFIN
2023,PROCESS AT SEA,"SHARK, BLUE",,,,Confidential,Commercial,Prionace glauca,160424,PACFIN
2023,PROCESS AT SEA,"SHARK, DOGFISH, SPINY","198,376",90,,Public,Commercial,Squalus acanthias,160617,PACFIN
2023,RHODE ISLAND,"SHARK, DOGFISH, SMOOTH","67,023",30,"42,862",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,RHODE ISLAND,"SHARK, DOGFISH, SPINY","33,340",15,"14,528",Public,Commercial,Squalus acanthias,160617,ACCSP
2023,RHODE ISLAND,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2023,RHODE ISLAND,"SHARK, THRESHER",,,,Confidential,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, BLACKNOSE",630,0,"1,162",Public,Commercial,Carcharhinus acronotus,160304,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, BLACKTIP","23,712",11,"49,909",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, BONNETHEAD",,,,Confidential,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, BULL","4,281",2,"8,670",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, FINETOOTH",300,0,616,Public,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, LEMON",,,,Confidential,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, NURSE",,,,Confidential,Commercial,Ginglymostoma cirratum,159977,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, SHARPNOSE, ATLANTIC","8,104",4,"17,409",Public,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,SOUTH CAROLINA,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2023,TEXAS,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,TEXAS,"SHARK, BONNETHEAD",,,,Confidential,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2023,VIRGINIA,"SHARK, BLACKTIP","10,471",5,"7,317",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2023,VIRGINIA,"SHARK, BLUE",,,,Confidential,Commercial,Prionace glauca,160424,EXCEPTIONS
2023,VIRGINIA,"SHARK, BULL",,,,Confidential,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2023,VIRGINIA,"SHARK, DOGFISH, SMOOTH","79,212",36,"41,974",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2023,VIRGINIA,"SHARK, DOGFISH, SPINY","6,018,055","2,730","1,230,835",Public,Commercial,Squalus acanthias,160617,ACCSP
2023,VIRGINIA,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2023,VIRGINIA,"SHARK, HAMMERHEAD, SMOOTH",,,,Confidential,Commercial,Sphyrna zygaena,160505,ACCSP
2023,VIRGINIA,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2023,VIRGINIA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2023,VIRGINIA,"SHARK, THRESHER",,,,Confidential,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2023,WASHINGTON,"SHARK, BLUE",,,,Confidential,Commercial,Prionace glauca,160424,PACFIN
2023,WASHINGTON,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,PACFIN
2023,WASHINGTON,"SHARK, THRESHER",,,,Confidential,Commercial,Alopias vulpinus,159916,PACFIN
2023,WASHINGTON,"SHARK, TOPE",,,,Confidential,Commercial,Galeorhinus galeus,160181,PACFIN
2022,ALABAMA,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2022,ALABAMA,"SHARK, BULL",,,,Confidential,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2022,ALABAMA,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230,EXCEPTIONS
2022,ALABAMA,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,GULFFIN
2022,ALABAMA,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2022,ALABAMA,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2022,ALABAMA,"SHARK, LEMON",,,,Confidential,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2022,ALABAMA,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2022,ALABAMA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2022,ALABAMA,"SHARK, TIGER",,,,Confidential,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2022,ALASKA,"SHARK, DOGFISH, SPINY","16,439",7,"1,231",Public,Commercial,Squalus acanthias,160617,AKFIN
2022,CALIFORNIA,"SHARK, BLUE",374,0,353,Public,Commercial,Prionace glauca,160424,PACFIN
2022,CALIFORNIA,"SHARK, DOGFISH, SPINY","3,287",1,"2,488",Public,Commercial,Squalus acanthias,160617,PACFIN
2022,CALIFORNIA,"SHARK, LEOPARD","6,753",3,"6,365",Public,Commercial,Triakis semifasciata,160448,PACFIN
2022,CALIFORNIA,"SHARK, MAKO, SHORTFIN","12,845",6,"13,700",Public,Commercial,Isurus oxyrinchus,159924,PACFIN
2022,CALIFORNIA,"SHARK, PACIFIC ANGEL","44,100",20,"33,711",Public,Commercial,Squatina californica,160785,PACFIN
2022,CALIFORNIA,"SHARK, THRESHER","97,627",44,"71,128",Public,Commercial,Alopias vulpinus,159916,PACFIN
2022,CALIFORNIA,"SHARK, THRESHER, BIGEYE",,,,Confidential,Commercial,Alopias superciliosus,159921,PACFIN
2022,CALIFORNIA,"SHARK, TOPE","25,268",11,"18,457",Public,Commercial,Galeorhinus galeus,160181,PACFIN
2022,CONNECTICUT,"SHARK, DOGFISH, SMOOTH","38,044",17,"35,822",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2022,CONNECTICUT,"SHARK, DOGFISH, SPINY","1,050",0,185,Public,Commercial,Squalus acanthias,160617,ACCSP
2022,DELAWARE,"SHARK, DOGFISH, SMOOTH",,,,Confidential,Commercial,Mustelus canis,160230,EXCEPTIONS
2022,DELAWARE,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,ACCSP
2022,FLORIDA-EAST,"SHARK, BLACKNOSE","12,160",6,"11,625",Public,Commercial,Carcharhinus acronotus,160304,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, BLACKTIP","76,211",35,"68,493",Public,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, BONNETHEAD",,,,Confidential,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, BULL","3,561",2,"1,882",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, FINETOOTH",,,,Confidential,Commercial,Carcharhinus isodon,160409,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, LEMON","1,992",1,"1,173",Public,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, MAKO, SHORTFIN","2,730",1,"4,727",Public,Commercial,Isurus oxyrinchus,159924,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, NURSE",,,,Confidential,Commercial,Ginglymostoma cirratum,159977,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, SANDBAR","24,210",11,"17,085",Public,Commercial,Carcharhinus plumbeus,160289,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, SHARPNOSE, ATLANTIC","58,328",26,"55,433",Public,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, SILKY",,,,Confidential,Commercial,Carcharhinus falciformis,160310,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, SPINNER","5,766",3,"4,316",Public,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2022,FLORIDA-EAST,"SHARK, TIGER",946,0,549,Public,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, BONNETHEAD",,,,Confidential,Commercial,Sphyrna tiburo,160502,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, BULL","26,315",12,"23,112",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, HAMMERHEAD, GREAT","11,416",5,"1,143",Public,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, LEMON","22,112",10,"17,719",Public,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, MAKO, SHORTFIN",,,,Confidential,Commercial,Isurus oxyrinchus,159924,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, NURSE","2,516",1,"2,057",Public,Commercial,Ginglymostoma cirratum,159977,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, SANDBAR",,,,Confidential,Commercial,Carcharhinus plumbeus,160289,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, SILKY",,,,Confidential,Commercial,Carcharhinus falciformis,160310,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2022,FLORIDA-WEST,"SHARK, TIGER","22,530",10,"19,303",Public,Commercial,Galeocerdo cuvier,160189,EXCEPTIONS
2022,LOUISIANA,"SHARK, BLACKTIP",,,,Confidential,Commercial,Carcharhinus limbatus,160318,EXCEPTIONS
2022,LOUISIANA,"SHARK, BLUE",,,,Confidential,Commercial,Prionace glauca,160424,EXCEPTIONS
2022,LOUISIANA,"SHARK, BULL","183,201",83,"102,820",Public,Commercial,Carcharhinus leucas,160275,EXCEPTIONS
2022,LOUISIANA,"SHARK, HAMMERHEAD, GREAT",,,,Confidential,Commercial,Sphyrna mokarran,160515,EXCEPTIONS
2022,LOUISIANA,"SHARK, HAMMERHEAD, SCALLOPED",,,,Confidential,Commercial,Sphyrna lewini,160508,EXCEPTIONS
2022,LOUISIANA,"SHARK, LEMON",,,,Confidential,Commercial,Negaprion brevirostris,160433,EXCEPTIONS
2022,LOUISIANA,"SHARK, MAKO, SHORTFIN",,,,Confidential,Commercial,Isurus oxyrinchus,159924,EXCEPTIONS
2022,LOUISIANA,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2022,MAINE,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,ACCSP
2022,MARYLAND,"SHARK, DOGFISH, SMOOTH","15,823",7,"20,949",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2022,MARYLAND,"SHARK, DOGFISH, SPINY",,,,Confidential,Commercial,Squalus acanthias,160617,ACCSP
2022,MARYLAND,"SHARK, HAMMERHEAD, SMOOTH",,,,Confidential,Commercial,Sphyrna zygaena,160505,EXCEPTIONS
2022,MARYLAND,"SHARK, MAKO, SHORTFIN","5,653",3,"10,854",Public,Commercial,Isurus oxyrinchus,159924,EXCEPTIONS
2022,MARYLAND,"SHARK, SHARPNOSE, ATLANTIC",,,,Confidential,Commercial,Rhizoprionodon terraenovae,160200,EXCEPTIONS
2022,MARYLAND,"SHARK, SPINNER",,,,Confidential,Commercial,Carcharhinus brevipinna,160401,EXCEPTIONS
2022,MARYLAND,"SHARK, THRESHER","12,019",5,"11,500",Public,Commercial,Alopias vulpinus,159916,EXCEPTIONS
2022,MASSACHUSETTS,"SHARK, DOGFISH, BLACK",,,,Confidential,Commercial,Centroscyllium,160703,ACCSP
2022,MASSACHUSETTS,"SHARK, DOGFISH, SMOOTH","2,338",1,"1,063",Public,Commercial,Mustelus canis,160230,EXCEPTIONS
2022,MASSACHUSETTS,"SHARK, DOGFISH, SPINY","3,834,524","1,739","987,078",Public,Commercial,Squalus acanthias,160617,ACCSP
